Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Urspr. plats?,Nuv. koord.,Sockenkod/Fornlämningsnr.,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Övrigt,Alternativt signum,Referens,Bildlänk,lat,lon,marker,date
Ög 126 † ,Hovby,Västra Eneby sn,Kinds hd,Kinda,,6432200.1494800,,,"0533 (Västra Eneby), Ev. Raä 20 [objektid=10053300200001]",,,V,,,sten,,runsten,"Rent ornamental. Identisk med Ög 125? Kan vara omhuggen, se Raä 20.",,,,58.01387652743134,15.717225681137263,ᚱ,1050
Ög 127 † ,Vallingedal,Hycklinge sn,Kinds hd,Kinda,,6421800.1509000,,,0436 (Hycklinge),,,V,RAK?,,sten,,fragment av runsten,,,,,57.92044227957296,15.957061802920668,ᚱ,1050
Ög 128  ,Sankt Lars kyrkohärbärge,Linköping,,Linköping,Vid Valla.,6476490.1489470,,6475194.1486834,"0461 (Linköping), 91 (nuv. plats) [objektid=10046100910001]",,A1; B1; C9; D1; 0; F2; 0,V,RAK,,sten,,runsten,,B 852; L 1133,,,58.41141999772329,15.62504099171754,ᚱ,1050
Ög 129 † ,Modis gård,Linköping,,Linköping,,6476475.1489425,,,0461 (Linköping),,,V,RAK,,sten,,runsten,,B 853; L 1134,,,58.41128424004031,15.624271846275041,ᚱ,1050
Ög 130 † ,Skolmästaregård,Linköping,,Linköping,,6476300.1489000,,,0461 (Linköping),,A1; B1; C7; D1; 0; F3; 0,V,?,,sten,,runsten,,B 851; L 1135,,,58.40970259714617,15.617009591702866,ᚱ,1050
Ög 131 $ ,Heda kyrka,Heda sn,Lysings hd,Ödeshög,,6463087.1435393,,,"0430 (Heda), 13:1 [objektid=10043000130001]",,A2; B3; C3; D1; 0; F3; 0,V,RAK,,sten,,runsten,,B 917; L 1193,$=ATA Dnr 4991/84,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög131&showthumbnails=true,58.28646482148334,14.703781061206069,ᚱ,1050
Ög 132  ,Heda kyrka,Heda sn,Lysings hd,Ödeshög,,6463071.1435396,,,"0430 (Heda), 13:2 [objektid=10043000130002]",,,V,Pr2 - Pr3?,,sten,,runsten,,B 918; L 1194,,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög132&showthumbnails=true,58.28632164086254,14.703836658034517,ᚱ,1050
Ög 133  ,Häggestad,Heda sn,Lysings hd,Ödeshög,,6459092.1434904,,,"0430 (Heda), 107:2 [objektid=10043001070002]",,"A5; B3; C9, C10; D1; 0; F3; 0",V,RAK,,sten,,runsten,,B 916; L 1198,,,58.250532197098345,14.696568289959167,ᚱ,1050
Ög 134 $ ,Gärdslösa (Enängen),Kumla sn,Lysings hd,Mjölby,,6467923.1447212,,,"0452 (Kumla), 3:1 [objektid=10045200030001]",,,V,RAK,,sten,,runsten,,B 919; L 1191,$=ATA Dnr 6076/83,,58.33145510541142,14.904132658100199,ᚱ,1050
Ög 135 $ ,Gärdslösa (Enängen),Kumla sn,Lysings hd,Mjölby,,6467920.1447201,,,"0452 (Kumla), 3:2 [objektid=10045200030002]",,"A2; B1; C1, C10; D1; 0; F3; 0",V,Pr2 - Pr3?,,sten,,runsten,"Runföljden skaukR placeras under Otolkade belägg i NRL, s. 302.",B 928; L 1192,$=ATA Dnr 6076/83; $=Elmevik 1967:113ff,,58.33142685140089,14.903945608877725,ᚱ,1050
Ög 136 $ ,Röks kyrkogård,Röks sn,Lysings hd,Ödeshög,,6463973.1439596,nej,,"0482 (Rök), 1 [objektid=10048200010001]",kortkvist,,V 800-t,RAK,,sten,granit,runsten,,B 913; L 2028,$=Wessén 1958:24; $=Gustavson 2003c,"http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014204, http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014208, http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014215, http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014244, http://www.kms.raa.se/cocoon/bild/show-image.html?id=16000300014191, http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög136&showthumbnails=true",58.295015622176784,14.775187951077225,ᚱ,850
Ög 137 M ,Kvarntorp,Svanshals sn,Lysings hd,Ödeshög,V om en kulle nära ån.,6465095.1443052,,,"0503 (Svanshals), 11 [objektid=10050300110001]",,A1; B1; 0; 0; 0; F1; 0,M,RAK,,sten,rödaktig granit,runsten,Nonsensinskrift.,,,,58.3055489239688,14.833832850918334,ᚱ,1300
Ög 138 † ,Kyleberg,Svanshals sn,Lysings hd,Ödeshög,,6467230.1444472,,,"0503 (Svanshals), 91 [objektid=10050300910001]",,A1; B1; 0; 0; 0; F1; 0,V,?,,sten,,runsten,Rent ornamental.,,,,58.32489605548128,14.857536651702802,ᚱ,1050
Ög 139 † ,Västra Tollstads kyrka,Västra Tollstads sn,Lysings hd,Ödeshög,,6462153.1432559,,,"0539 (Västra Tollstad), 70:1(1) [objektid=10053900700001]",,,V,,,sten,kalksten,gravhäll,,B 923; L 1663,,,58.27765546422944,14.655750509404845,ᚱ,1050
Ög 140 † ,Västra Tollstads kyrka,Västra Tollstads sn,Lysings hd,Ödeshög,,6462153.1432559,,,"0539 (Västra Tollstad), 70:1(1) [objektid=10053900700001]",,,V,,,sten,kalksten,gravhäll,,B 923; L 1665,,,58.27765546422944,14.655750509404845,ᚱ,1050
Ög 141 † ,Västra Tollstads kyrka,Västra Tollstads sn,Lysings hd,Ödeshög,,6462153.1432559,,,"0539 (Västra Tollstad), 70:1(1) [objektid=10053900700001]",,,V,,,sten,,runsten,,L 1664,,,58.27765546422944,14.655750509404845,ᚱ,1050
Ög 142 † ,Stora Åby kyrka,Stora Åby sn,Lysings hd,Ödeshög,,6457880.1435653,,,"0498 (Stora Åby), 40:1(1) [objektid=10049800400001]",,A1; B1; C10; D5; 0; F3; 0,V,RAK,,sten,,runsten,,B 914; L 1196,,,58.239762888934365,14.709657373304937,ᚱ,1050
Ög 143 † ,Stora Åby kyrka,Stora Åby sn,Lysings hd,Ödeshög,,6457880.1435653,,,"0498 (Stora Åby), 40:1(1) [objektid=10049800400001]",,,V,RAK,,sten,,runsten,,B 915; L 1195,,,58.239762888934365,14.709657373304937,ᚱ,1050
Ög 144  ,Ödeshögs kyrka,Ödeshögs sn,Lysings hd,Ödeshög,,6456875.1432388,,,"0547 (Ödeshög), 16 [objektid=10054700160001]",,A2; B1?; C1?; D1; 0; F3; 0,V,KB? (Pr2 - Pr3),,sten,,runsten,,L 1197,,,58.2302526528287,14.654374533672796,ᚱ,1050
Ög 145  ,Dagsbergs kyrkogårdsmur,Dagsbergs sn,Lösings hd,Norrköping,Utanför västra kyrkogårdsmuren.,6495609.1529714,,,"0412 (Dagsberg), 5:2 [objektid=10041200050002]",,A4?; B2?; C6; D1; 0; F3; G4?,V,?,,sten,,runsten,,B 859; L 1094,,,58.58218252039874,16.31599209331377,ᚱ,1050
Ög 146 $ ,Dagsbergs kyrkogårdsmur,Dagsbergs sn,Lösings hd,Norrköping,Utanför västra kyrkogårdsmuren.,6495621.1529712,,,"0412 (Dagsberg), 5:1 [objektid=10041200050001]",,,V,Fp,,sten,rödaktig granit,runsten,,B 858; L 1095,$=ATA Dnr 6576/62; $=Källström 2007a:353,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög146&showthumbnails=true,58.58229038348891,16.31595927890274,ᚱ,1050
Ög 147  ,Furingstads kyrka,Furingstads sn,Lösings hd,Norrköping,,6492607.1531384,,,"0420 (Furingstad), 26:2 [objektid=10042000260002]",,,V,RAK?,,sten,,runsten,,B 862; L 1100,,,58.55511591112483,16.344286145233166,ᚱ,1050
Ög 148  ,Furingstads kyrka,Furingstads sn,Lösings hd,Norrköping,,6492599.1531367,,,"0420 (Furingstad), 26:3 [objektid=10042000260003]",,,V,RAK,,sten,,runsten,,L 1101,,,58.55504531555098,16.34399303827901,ᚱ,1050
Ög 149  ,Furingstads prästgård,Furingstads sn,Lösings hd,Norrköping,Nu vid kyrkan.,6492700.1531015,,6492624.1531405,"0420 (Furingstad), 26:1 (nuv. plats) [objektid=10042000260001]",,,V,RAK?,,sten,,runsten,Lagad 1967.,,,,58.55597717556591,16.337960523525233,ᚱ,1050
Ög 150  ,Furingstads kyrka,Furingstads sn,Lösings hd,Norrköping,,6492623.1531354,,,"0420 (Furingstad), 26:4 [objektid=10042000260004]",,A1; B1; 0; D1; 0; F3; 0,V,?,,sten,,runsten,Lagad och rest 1941.,,,,58.55526170330454,16.34377303885651,ᚱ,1050
Ög 151  ,Furingstads kyrka,Furingstads sn,Lösings hd,Norrköping,,6492636.1531346,,,"0420 (Furingstad), 26:5 [objektid=10042000260005]",,A1; B1; 0; D1; 0; F3; 0,V,RAK,,sten,,runsten,Läsning enl. S. Lagman 1994: tur(u)r(n) rti · stun : þaosi : ufti × (u)...(þ)(i)uis + broþu,,,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög151&showthumbnails=true,58.55537898201838,16.343637410085446,ᚱ,1050
Ög 152  ,Agetomta,Furingstads sn,Lösings hd,Norrköping,Lagad och rest 1941 nära Agetomta gård.,6491382.1529696,,,"0420 (Furingstad), 10 [objektid=10042000100001]",,A1; B3; C10; D1; E7; F3; G6,V,?,,sten,,runsten,,B 860; L 1102,,,58.54423687031256,16.315132056986265,ᚱ,1050
Ög 153  ,"Styrstad, kyrkogårdsmuren",Styrstads sn,Lösings hd,Norrköping,Inflyttad till NV delen av kyrkogården 2003.,6493274.1527057,,,"0501 (Styrstad), 32:1 [objektid=10050100320001]",,,V,?,,sten,,runsten,,B 856; L 1096,,,58.56139348123821,16.270040226771084,ᚱ,1050
Ög 154  ,"Styrstad, kyrkogårdsmuren",Styrstads sn,Lösings hd,Norrköping,Rest precis utanför kyrkogårdsmuren.,6493277.1527049,,,"0501 (Styrstad), 32:2 [objektid=10050100320002]",,A1; B1; C10?; D1; 0; F3; 0,V,Fp?,,sten,,runsten,,B 856; L 1097,,,58.56142090910912,16.269903141544166,ᚱ,1050
Ög 155 $ ,"Sylten, Bjällbrunna ägor",Styrstads sn,Lösings hd,Norrköping,,6495161.1525603,,,"0501 (Styrstad), 39 [objektid=10050100390001]",,"A2; B1; C6, C7; D1; 0; F3; 0",V,RAK?,,sten,,runsten,,B 857; L 1098,$=Peterson 1981:24,,58.57842144015425,16.24527218683866,ᚱ,1050
Ög 156  ,Tingstads kyrka,Tingstads sn,Lösings hd,Norrköping,Lagad och rest på kyrkogården 1941.,6489698.1528382,,,"0508 (Tingstad), 25:2 [objektid=10050800250002]",,,V,Pr2,,sten,,runsten,,B 861; L 1099,,,58.52920643715176,16.29235922072682,ᚱ,1050
Ög 157 $ ,Tingstads kyrkogård,Tingstads sn,Lösings hd,Norrköping,Rest på kyrkogården 1941.,6489706.1528378,,,"0508 (Tingstad), 25:1 [objektid=10050800250001]",,,V,RAK,,sten,,runsten,,,"$=ATA 7166/74, Fältex. C",,58.52927851567966,16.29229155683618,ᚱ,1050
Ög 158 $ ,Tingstads kyrka,Tingstads sn,Lösings hd,Norrköping,Rest på kyrkogården.,6489692.1528380,,,"0508 (Tingstad), 25:3 [objektid=10050800250003]",,,V,Fp,,sten,granit,runsten,Tidigare signum: Ög Fv1959;95.,"Ög 159, Ög Fv1959;95",$=Fv 1959:93ff; $=Lerche Nielsen (manus); http://fornvannen.se/pdf/1950talet/1959_093.pdf,,58.52915270303063,16.292324146918833,ᚱ,1050
Ög 160  ,Kimstads kyrka,Kimstads sn,Memmings hd,Norrköping,,6490770.1509823,,,"0444 (Kimstad), 41 [objektid=10044400410001]",,,V,,,sten,kalksten,"gravhäll, lockhäll","Nordén läser keiRu-r-, vilket i så fall bör tolkas GæiR-, jämför NRL, s. 97.",B 864; L 1655,HedvallMenander162,,58.53964096754765,15.973842078176409,ᚱ,1050
Ög 161  ,Kimstads kyrkogård,Kimstads sn,Memmings hd,Norrköping,,6490778.1509816,,,"0444 (Kimstad), 42 [objektid=10044400420001]",,,V,KB,,sten,,runsten,,"B 863; L 1126, L 1127",,,58.53971294512714,15.973722230723526,ᚱ,1050
Ög 162  ,Kullerstads bro,Kullerstads sn,Memmings hd,Norrköping,,6495770.1508133,,,"0451 (Kullerstad), 29 [objektid=10045100290001]",,A4; B1; C9; D1; E10; F3; 0,V,RAK?,,sten,,runsten,Parsten till Ög Fv1970;310.,,,,58.58456348490505,15.945002114864653,ᚱ,1050
Ög 163  ,Skattna,Kullerstads sn,Memmings hd,Norrköping,,6493998.1511406,,,"0451 (Kullerstad), 5 [objektid=10045100050001]",,A2; B4; 0; D1; 0; F3; 0,V,Pr2 - Pr3?,,sten,,runsten,Rest 1941.,L 1125,,,58.56858225375122,16.001182963571626,ᚱ,1050
Ög 164  ,"Motala, kyrkoherdebostället",Motala,,Motala,"Nu i Östergötlands länsmuseum, Linköping. (C 3417)",6490198.1455564,,,"0467 (Motala), 3 [objektid=10046700030001]",,,V,?,,sten,sandsten,fragment av runsten,,,,,58.5323433266467,15.042360528676605,ᚱ,1050
Ög 165  ,"Skänninge, Vårfrukyrkan",Skänninge,,Mjölby,,6474883.1457995,,,"0493 (Skänninge), 3 [objektid=10049300030001]",,,V s 900-t,RAK,Torkel (S),sten,,runsten,,,,,58.395101316466295,15.086902243041102,ᚱ,950
Ög 166  ,"Skänninge, Hospitalsmuren",Skänninge,,Mjölby,,6475493.1458711,,,"0493 (Skänninge), 2:2 [objektid=10049300020002]",,,V,RAK?,,sten,,runsten,,B 875; L 1176,,,58.400645537699255,15.099035054721453,ᚱ,1050
Ög 167 † ,"Skänninge, Vårfrukyrkan",Skänninge,,Mjölby,,6474860.1457970,,,0493 (Skänninge),,,V,,,sten,kalksten,gravhäll,,B 874; L 1659,,,58.39489244145432,15.086478991439968,ᚱ,1050
Ög 168 † ,"Skänninge, hospitalsmuren",Skänninge,,Mjölby,,6475485.1458740,,,0493 (Skänninge),,,V,RAK,,sten,,runsten,,B 877; L 1177,,,58.40057645669562,15.099532424514896,ᚱ,1050
Ög 169 † ,Gistads forna kyrka,Gistads sn,Skärkinds hd,Linköping,,6481280.1506910,,,0422 (Gistad),,,V,?,,sten,,runsten,,,,,58.454498203279215,15.923541514789909,ᚱ,1050
Ög 170  ,Ösby,Gårdeby sn,Skärkinds hd,Söderköping,Nu vid Åkerby.,6479900.1517000,,6479630.1516165,"0426 (Gårdeby), 17 (nuv. plats) [objektid=10042600170001]",,A1; B3; 0; D1; 0; F3; 0,V,FP,,sten,,runsten,,L 1124,,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög170&showthumbnails=true,58.44183461295714,16.096264878243073,ᚱ,1050
Ög 171 U ,Skärkinds gamla kyrka,Skärkinds sn,Skärkinds hd,Norrköping,,6483146.1510848,,,"0494 (Skärkind), 68:1 [objektid=10049400680001]",,,U 375/400-460/470 (Imer 2007),,,sten,ljusröd granit,runsten,,,KJ 87; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=83&ort=Skärkinds gamla kyrka&objekt=runsten>,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög171&showthumbnails=true,58.47117121254025,15.99108128559587,ᚱ,430
Ög 172 $ ,Skärkinds gamla kyrka,Skärkinds sn,Skärkinds hd,Norrköping,,6483147.1510847,,,"0494 (Skärkind), 68:2 [objektid=10049400680002]",,"A1; B3; C6, C7; D1; 0; F3; 0",V,FP,,sten,grå granit,runsten,,,$=ATA Dnr 4655/74,,58.471180214917446,15.991064196135577,ᚱ,1050
Ög 173 M ,Skärkinds gamla kyrka,Skärkinds sn,Skärkinds hd,Norrköping,Nu i Skärkinds nya kyrka.,6483130.1510840,,6482730.1510530,0494 (Skärkind),,,M 1400-t,,,ben/horn,ben,"runben, revben",,,,,58.47102776675856,15.990943439842042,🦴ᚱ,1450
Ög 174 $ ,Skärkinds nya kyrka,Skärkinds sn,Skärkinds hd,Norrköping,Nu i bod vid församlingshemmet.,6482730.1510530,,,"0494 (Skärkind), 68:3 (tid. plats) [objektid=10049400680003]",,,V,RAK?,,sten,,fragment av runsten,,,$=ATA Dnr 4652/74,,58.46744422117054,15.985612837898268,ᚱ,1050
Ög 175 $ ,Skärkinds nya kyrka,Skärkinds sn,Skärkinds hd,Norrköping,Nu i bod vid församlingshemmet.,6482730.1510530,,,"0494 (Skärkind), 68:5 (tid. plats) [objektid=10049400680005]",,,V,?,,sten,,runsten,,,$=ATA Dnr 4653/74,,58.46744422117054,15.985612837898268,ᚱ,1050
Ög 176  ,Karlslund,Skärkinds sn,Skärkinds hd,Norrköping,,6484135.1513792,,,"0494 (Skärkind), 93 [objektid=10049400930001]",,,V,RAK,,sten,,runsten,,,,,58.47996754067208,16.04159053475641,ᚱ,1050
Ög 177 † ,Söderköping,Söderköping,,Söderköping,,6484300.1530000,,,0506 (Söderköping),,"A5; B1; C6, C7; D1; 0; F2; 0",V,Fp,,sten,,runsten,,B 926; L 1121,,,58.48063867348518,16.319423449051197,ᚱ,1050
Ög 178 †$U ,Vadstena,Vadstena,,Vadstena,SHM (70),6481000.1447000,,,0517 (Vadstena),,,U 500-t,,,metall,guld,brakteat (C-typ),,,"$=Lundeby & Williams 1992; SRI 14:1 s. 29ff.; KJ 2; IK 377,1, http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042599_00238.html; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=179&ort=Vadstena&objekt=brakteat (C-typ)>","http://kulturarvsdata.se/shm/media/html/12931, http://digi20.digitale-sammlungen.de/en/fs1/object/display/bsb00042598_00172.html",58.448818273138805,14.89749946794435,🗡️ᚱ,550
Ög 179  ,Vadstena,Vadstena,,Vadstena,Nu vid klosterkyrkan.,6481250.1446550,,6481200.1446693,"0517 (Vadstena), 2 (nuv. plats) [objektid=10051700020001]",,,V,Fp,,sten,,runsten,,L 1172,,,58.45100759323878,14.889735485130423,ᚱ,1050
Ög 180  ,Gammalkils kyrka,Gammalkils sn,Valkebo hd,Linköping,,6465549.1475991,,,"0421 (Gammalkil), 18 [objektid=10042100180001]",,"A2; B1; C6, C7; D1; 0; F3; 0",V,?,,sten,,runsten,,B 865; L 1160,,,58.31266183895655,15.395594118276108,ᚱ,1050
Ög 181 $ ,Ledbergs kyrkogård,Ledbergs sn,Valkebo hd,Linköping,,6479966.1479075,,,"0459 (Ledberg), 6 [objektid=10045900060001]",,A1; B2; C11; D4; 0; F3; 0,V,?,,sten,,runsten,,B 873; L 1146,$=Jansson 1976:76; $=ATA Dnr 322-03923-2004,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög181&showthumbnails=true,58.44225140020977,15.44689219407511,ᚱ,1050
Ög 182  ,Ledbergs kyrkogård,Ledbergs sn,Valkebo hd,Linköping,Nu i tornet.,6479934.1479068,,,"0459 (Ledberg), 26 [objektid=10045900260001]",,,V,?,,sten,kalksten,gravhäll,Rent ornamental.,,HedvallMenander166,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög182&showthumbnails=true,58.4419637807988,15.446775267812047,ᚱ,1050
Ög 183 $ ,Kärrsjö,Ledbergs sn,Valkebo hd,Linköping,,6481508.1479427,,,"0459 (Ledberg), 13 [objektid=10045900130001]",,"A2; B3; C5, C10; D1; 0; F3; 0",V,RAK?,,sten,,runsten,,B 922; L 1147,§Q: $=Källström 2007a:353f,,58.4561116147697,15.452780412426781,ᚱ,1050
Ög 184  ,"Sjögestad, kyrkogårdsmuren",Sjögestads sn,Valkebo hd,Linköping,Rest 1937 utanför muren.,6471590.1474625,,,"0488 (Sjögestad), 19:1 [objektid=10048800190001]",,"A2; B1; C6, C7; D6; 0; F3; 0",V,Fp,,sten,,runsten,,L 1152,,,58.36681902808704,15.371625441380177,ᚱ,1050
Ög 185 †$ ,"Sjögestad, kyrkogårdsmuren",Sjögestads sn,Valkebo hd,Linköping,"södra kyrkogårdsmuren, försvunnet se ATA Dnr 3623/43",6471590.1474625,,,"0488 (Sjögestad), 19 [objektid=10048800190001]",,,V,?,,sten,,runsten,Rent ornamental.,,$=ATA Dnr 3623/43,,58.36681902808704,15.371625441380177,ᚱ,1050
Ög 186  ,Frackstad,Sjögestads sn,Valkebo hd,Linköping,Vid Lunnevads folkhögskola.,6470190.1476150,,6470135.1474003,"0488 (Sjögestad), 30 (nuv. plats) [objektid=10048800300001]",,A2; B1; C9; D5; 0; F3; 0,V,Fp,Anund (S),sten,,runsten,,B 869; L 1153,,,58.35433607002577,15.39782618132459,ᚱ,1050
Ög 187  ,Hackstad,Sjögestads sn,Valkebo hd,Linköping,Vid Lunnevads folkhögskola.,6469800.1475600,,6470133.1474029,"0488 (Sjögestad), 29 (nuv. plats) [objektid=10048800290001]",,,V,RAK?,,sten,,runsten,,B 868; L 1154,,,58.35080446594572,15.38847376669501,ᚱ,1050
Ög 188 † ,Bankeberg,Vikingstads sn,Valkebo hd,Linköping,,6472950.1478600,,,0523 (Vikingstad),,,V,?,,sten,,runsten,,B 871; L 1156,,,58.3792411944114,15.439414361532723,ᚱ,1050
Ög 189  ,Bo,Vikingstads sn,Valkebo hd,Linköping,,6469724.1478932,,,"0523 (Vikingstad), 75 [objektid=10052300750001]",,,V,Fp,,sten,,runsten,,B 870; L 1155,,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög189&showthumbnails=true,58.35029520984164,15.445384515844792,ᚱ,1050
Ög 190  ,Nybble ägor,Vikingstads sn,Valkebo hd,Linköping,,6473515.1479895,,,"0523 (Vikingstad), 4 [objektid=10052300040001]",,,V,?,,sten,,runsten,,L 1157,,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög190&showthumbnails=true,58.384375078782575,15.461498684790913,ᚱ,1050
Ög 191 † ,Nybble,Vikingstads sn,Valkebo hd,Linköping,,6472750.1472500,,,0523 (Vikingstad),,,V,?,,sten,,runsten,Lerche Nielsen 2010:241f anser stenen vara samma som Ög 157.,B 867; L 1159,,,58.37710464942264,15.335180017659276,ᚱ,1050
Ög 192 † ,Rakered,Vikingstads sn,Valkebo hd,Linköping,,6471950.1479675,,,0523 (Vikingstad),,"A2; B2; C6, C7; D5; 0; F3; 0",V,RAK?,,sten,,runsten,,B 866; L 1158,,,58.370314785670566,15.45787648035134,ᚱ,1050
Ög 193 $ ,Härberga kyrka (nu: Herrberga),Härberga sn (nu Herrberga),Vifolka hd,Mjölby,Rest 1947 vid ingången till kyrkogården.,6473590.1464481,,,"0431 (Herrberga), 9 [objektid=10043100090001]",,,V,FP,,sten,,runsten,,,$=ATA Dnr 6076/83,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög193&showthumbnails=true,58.384068270652165,15.1980044795531,ᚱ,1050
Ög 194 † ,Härberga kyrka (nu: Herrberga),Härberga sn (nu Herrberga),Vifolka hd,Mjölby,,6473630.1464480,,,0431 (Herrberga),,"A1; B2; C6, C7; D1; E3; F3; 0",V,Pr1?,,sten,,runsten,,B 902; L 1161,,,58.3844272838944,15.197981204109293,ᚱ,1050
Ög 195 † ,Hadelö,Mjölby sn,Vifolka hd,Mjölby,,6465540.1459430,,,0465 (Mjölby),,A5; B1; C7; D1; 0; F2; 0,V,RAK,,sten,,runsten,Lerche Nielsen 2010:241 anser inskriften vara en del av Ög 157.,B 900; L 1171,,,58.31136227067889,15.113083990106695,ᚱ,1050
Ög 196 † ,Hulterstad,Mjölby sn,Vifolka hd,Mjölby,,6462860.1459875,,,0465 (Mjölby),,,V,RAK?,,sten,,runsten,"Runföljden turno placeras under Otolkade belägg i NRL, s. 302.",B 903; L 1169,,,58.28734389342518,15.121139968136795,ᚱ,1050
Ög 197  ,Sörby kyrka,Mjölby sn,Vifolka hd,Mjölby,,6465599.1459504,,,"0465 (Mjölby), 43:2 [objektid=10046500430002]",,,V,RAK?,,sten,,runsten,,B 899; L 1170,,,58.3118987654359,15.11433594384177,ᚱ,1050
Ög 198 $ ,Normlösa klockaregård,Normlösa sn,Vifolka hd,Mjölby,Nu i vapenhuset.,6477100.1466350,,6477150.1466278,"0468 (Normlösa), 8:1 (nuv. plats) [objektid=10046800080001]",,,V,,,sten,kalksten,,,,$=ATA Dnr 4666/43; HedvallMenander142-143,,58.415726622601966,15.229437751925868,ᚱ,1050
Ög 199  ,Sya kyrka,Sya sn,Vifolka hd,Mjölby,"Vid f.d. Tingshuset, Mjölbyvägen 12, 160 m SSV kyrkan.",6468240.1466140,,6468080.1466076,"0505 (Sya), 2:1 (nuv. plats) [objektid=10050500020001]",,,V,RAK?,,sten,,runsten,,B 893; L 1168,,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög199&showthumbnails=true,58.33617047656567,15.227149604768446,ᚱ,1050
Ög 200 $ ,Uddarp,Sya sn,Vifolka hd,Mjölby,Står nu vid kyrkans långhus.,6463920.1465660,,6468217.1466140,"0505 (Sya), 1:1 (nuv. plats) [objektid=10050500010001]",,,V,RAK,,sten,,runsten,J. P. Strid läste 1984 mut- kuml a(u)fti i mittenraden (ATA Dnr 4991/84). Inskriften §B finns på stenens högra smalsida. Nordén läser: kar-i--(u)-(i)(R) --------(R) --(þ)ka- utinkarl auk kirmutr kuml aufti... ... kuþm... ...,,$=Källström 2007a:355,,58.297350381593326,15.219598421594343,ᚱ,1050
Ög 201 $ ,Veta kyrkogård,Veta sn,Vifolka hd,Mjölby,,6470369.1467996,,,"0521 (Veta), 13 [objektid=10052100130001]",,,V,RAK,,sten,,runsten,,B 891; L 1557,$=ATA Dnr 4991/84,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög201&showthumbnails=true,58.35542302821219,15.258536632720528,ᚱ,1050
Ög 202  ,Gottlösa,Veta sn,Vifolka hd,Mjölby,Rest öster om kyrkan.,6472929.1467533,,6470392.1468008,"0521 (Veta), 10:2 (nuv. plats) [objektid=10052100100002]",,,V,RAK?,,sten,,runsten,Flyttades 2007.,B 892; L 1167,,,58.37837127308556,15.25026742697546,ᚱ,1050
Ög 203  ,Gottlösa,Veta sn,Vifolka hd,Mjölby,Rest öster om kyrkan.,6472929.1467554,,6470392.1468005,"0521 (Veta), 10:1 (nuv. plats) [objektid=10052100100001]",,A4; B2; C2; D1; E5; F3; 0,V,RAK,,sten,,runsten,Flyttades 2007.,,,,58.3783728305239,15.2506263345005,ᚱ,1050
Ög 204 $ ,Viby kyrka,Viby sn,Vifolka hd,Mjölby,Rest nordöst om kyrkan.,6471800.1471130,,,"0522 (Viby), 24:3 [objektid=10052200240003]",,,V,RAK?,,sten,rödaktig granit,runsten,,B 895; L 1162,$=ATA Dnr 6573/62,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög204&showthumbnails=true,58.36848772396706,15.31188546509113,ᚱ,1050
Ög 206 $ ,Viby källgård,Viby sn,Vifolka hd,Mjölby,Nu på Viby kyrkogård.,6471950.1471350,,6471771.1471093,"0522 (Viby), 24:4 (nuv. plats, Ög 205-delen) [objektid=10052200240004]",,A1; B1; C4; D1?; 0; F2; 0,V,?,,sten,,runsten,Ög 205 förd hit. Ög 206-delen saknas.,Ög 205,$=ATA Dnr 6574/62 och Fältex. C,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög205&showthumbnails=true,58.36984881365635,15.315625748344202,ᚱ,1050
Ög 207 $ ,"Enebacken, Kårarps ägor",Viby sn,Vifolka hd,Mjölby,,6471709.1472833,,,"0522 (Viby), 2:2 [objektid=10052200020002]",,,V,RAK,,sten,,runsten,,B 897; L 1165,$=ATA Dnr 4991/84,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Ög207&showthumbnails=true,58.36777978660989,15.340994164388151,ᚱ,1050
